SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,255454,"PARAF RODA MB (1.50) 10.9 22X89 ESPIRAL MBB CÓD. 812371 (7/8""X2.1/2"" UNF)",,Almox Prod Especiais
MP,,256017,PARAF FRANC 1/2 X 3.1/2 C/PORCA,,Almox Prod Especiais
MP,,256020,PARAF FRANC 1/2 X 1.1/2 GALV,,Almox Prod Especiais
MP,,256021,"PARAF FRANC INOX 1/2 X 1.1/2""",,Almox Prod Especiais
MP,,256027,"PARAF FRANC INOX 1/4 X 1""",,Almox Prod Especiais
MP,,256028,"PARAF FRANC INOX 5/16 X 1""",,Almox Prod Especiais
MP,,256030,"PARAF FRANC INOX 5/16 X 2.1/2""",,Almox Prod Especiais
MP,,256033,"PARAF FRANC INOX 5/16 X 1.1/2""",,Almox Prod Especiais
MP,,256161,"PARAF FRANC 3/8 X 2""",,Almox Prod Especiais
MP,,256596,"PARAFUSO FRANCES 1/4"" X 1"" UNC",,Almox Prod Especiais
MP,,257085,"PARAFUSO ALLEN 1/4"" X 1"" UNF",,Almox Prod Especiais
MP,,257086,"PARAF ALLEN C/ CAB 1/4 X 5/8"" UNF (NÃO USAR, SUBSTITUÍDO.)",,Almox Prod Especiais
MP,,257089,"PARAF ALLEN C/CAB 1/4 X 1.1/4"" UNF",,Almox Prod Especiais
MP,,257091,"PARAF ALLEN S/CAB 1/4 X 1/4"" UNC",,Almox Prod Especiais
MP,,257092,"PARAF ALLEN S/CAB 1/4 X 5/8"" UNC",,Almox Prod Especiais
MP,,257094,"PARAF ALLEN C/CAB 1/4 X 1/2"" UNF",,Almox Prod Especiais
MP,,257109,PARAF AA FERRO 4.8 (10 X 13) 1/2 CHATA,,Almox Prod Especiais
MP,,257111,"PARAF. ALLEN INOX C/CAB. 1/4 X 1.1/4"" UNC",,Almox Prod Especiais
MP,,257115,"PARAF. MAQ. INOX. 1/4"" X 1"" CAB. CHATA",,Almox Prod Especiais
MP,,257121,"PARAF. MAQ. FENDA. 5/16"" X 1"" CAB. CHATA",,Almox Prod Especiais
MP,,257122,"PARAF. MAQ. FENDA. 5/16"" X 1.1/2"" CAB. CHATA",,Almox Prod Especiais
MP,,257123,"PARAF. MAQ. FENDA. 5/16"" X 1.3/4"" CAB. CHATA",,Almox Prod Especiais
MP,,257127,"PARAF. MAQ. FENDA. 1/8"" X 1"" CAB. CHATA",,Almox Prod Especiais
MP,,257130,"PARAF. MAQ. FENDA. 5/16"" X 1.1/4"" CAB. CHATA",,Almox Prod Especiais
