SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
AL08 - PROJETOS,,226132,CORRENTE EM AÇO INOX AISI 304 PASSO 42MM P/ ESTEIRA ELEVATÓRIA DE MELÃO (M),,Central
AL04 - CHA,,120305IMP,"BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300 IMP (KG)",,Central
AL04 - CHA,,120201IMP,BOBINA CHAPA LQ 6.00 X 1200 SAE1010 (KG),,Central
AL04 - CHA,,120206,CHAPA 1/4 (6.30 x 2550 x 6000) A36,,Central
AL08 - PROJETOS,,226133,CORRENTE EM AÇO INOX 2050 (M),,Central
AL08 - PROJETOS,,120016,CHAPA UHMW 6 X 70 X 3000 MM (Un),,Central
AL08 - PROJETOS,,120018,CHAPA UHMW 5 X 20 X 190 MM (Un),,Central
AL08 - PROJETOS,,126011,BARRA UHMW CONF. DES. TRILHO CÓD.030208 (Tam= 255) (Un),,Central
AL08 - PROJETOS,,200295,TRILHO DA CORRENTE EM UHMW 11 X 34 X 1200 MM CÓD. DES. 028397 (Un),,Central
AL08 - PROJETOS,,120023,CHAPA UHMW 12 X 1000 X 2500 MM (Un),,Central
AL08 - PROJETOS,,126010,BARRA UHMW CONF. DES. TRILHO CÓD.027874 (Tam= 2135) (Un),,Central
AL08 - PROJETOS,,200411,DISCO TECNIL 280 X 30MM P/ MÁQ. DE COLHEITA (Un),,Central
AL08 - PROJETOS,,200294,TRILHO DA CORRENTE EM UHMW 11 X 34 X 2900 MM CÓD. DES. 028397 (Un),,Central
AL08 - PROJETOS,,126008,BARRA UHMW CONF. DES. TRILHO LATERAL CÓD.027995 (Tam= 3830) (Un),,Central
AL08 - PROJETOS,,117112,TARUGO NYLON RED. DE 35mm. (M),,Central
AL08 - PROJETOS,,117006,TARUGO NYLON RED. DE 30mm. (M),,Central
AL08 - PROJETOS,,117009,TECNIL TARUGO 70MM (M),,Central
AL04 - CHA,,120110,"CHAPA A.DERR. 3,00mm. 1010 (KG)",,Central
AL08 - PROJETOS,,350104,ARAME MIG P/ SOLDA INOX,,Central
AL04 - SER,,134043,TUBO RETANGULAR 100 X 50 X 5MM (KG),,Central
AL04 - SER,,134036,"TUBO QDR 50,00 X 4MM (KG)",,Central
AL04 - SER,,124205,ACO LAMINADO QDR 2.1/2    1020 (KG),,Central
AL01 - GAV,G03,533889HYP,CAPA 30A (HYP220754) (Un),,Central
