SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
PEÇA,,026951,REFORÇO DO APOIO - ESTRUTURA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026954,CANTONEIRA DO SUPORTE DO FUEIRO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026954,CANTONEIRA DO SUPORTE DO FUEIRO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026955,BORBOLETA SUP. DO FUEIRO - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026958,ORELHA DO ROLO DESLIZANTE - ESTRUTURA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,026966,CHAPA INF. SUP. DA BARRA - SUP DOS DISCOS - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,027023,CHAPA FIXAÇÃO TIRANTE MAIOR - CONJUNTO DIANTEIRO - ENCANTEIRADOR DE 3 LINHAS,,Almox Corte e Estamparia
PEÇA,,027024,SAPATA MAIOR - CONJUNTO DIANT - ENCANTEIRADOR DE 3 LINHAS,,Almox Corte e Estamparia
PEÇA,,027039,OLHAL DE FIXAÇÃO TRASEIRA - CONJUNTO DIANTEIRO - ENCANTEIRADOR DE 3 LINHAS,,Almox Corte e Estamparia
PEÇA,,027040,CHAPA DE ENCAIXE - CHASSI DIANTEIRO - ENCANTEIRADOR DE 3 LINHAS,,Almox Corte e Estamparia
PEÇA,,027040,CHAPA DE ENCAIXE - CHASSI DIANTEIRO - ENCANTEIRADOR DE 3 LINHAS,,Almox Corte e Estamparia
PEÇA,,027046,CANTONEIRA SUP. PROTETOR LATERAL - ESTRUTURA - APLICADOR DE TNT,,Almox Corte e Estamparia
PEÇA,,027047,CANTONEIRA SUP. PROTETOR FRONTAL - ESTRUTURA - APLICADOR DE TNT,,Almox Corte e Estamparia
