Códigos,Item,Local,Célula,Posição,Cod. Localização,Saldo,almoxarifado
200486, CABO CONTROLE 500V FLEX PT 25 X 1 (M),AL01,EST,CH,AL01-EST-CH,59,Central 
199814, AÇO QUAD. TREF. 1020 2 (50.800MM) (KG),AL04,SER,,AL04-SER-,120,Central 
200442," CABO CONTROLE 20 X 1,00MM (M)",AL01,EST,CH,AL01-EST-CH,54,Central 
134057, TUBO QDR 100 X 9.50MM (KG),AL04,SER,,AL04-SER-,145,Central 
200389, APOIO DA CORRENTE EM UHMW 11 X 34 X 2790 MM CÓD. DES. 028407A (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,30,Central 
226109, CORRENTE ELO 1/2 GALV. (KG),AL08,PROJETOS,,AL08-PROJETOS-,182,Central 
226108, CORRENTE ELO 3/4 GALV. (KG),AL08,PROJETOS,,AL08-PROJETOS-,123,Central 
200949, PORCA AUTOTRAVANTE 1 1/2 UNF (Un),AL01,AM,AM05,AL01-AM-AM05,30,Central 
350629, SOLVENTE DE ARRASTE FARBEN CÓD. 151.360,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,126,Central 
240635, KIT DE REPARO (VEDAÇÕES+GUIAS+GAXETAS) CIL TELESC CBH 6T 10 OC (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,13,Central 
134688, TUBO AÇO INOX 304 ,AL04,SER,,AL04-SER-,12,Central 
200081, MOTOR R FLANGE QUADR. EIXO 25.4MM CÓD.M,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
112847, AÇO RED. INOX 304 DE  5/8 (KG),AL04,SER,,AL04-SER-,102,Central 
134050, TUBO QDR 100 X 4.00MM (KG),AL04,SER,,AL04-SER-,"150,42",Central 
112874, ACO RED INOX 304 DE 1.1/2 (KG),AL04,SER,,AL04-SER-,"56,15",Central 
112501, ACO TREF. RED. SAE,AL04,SER,,AL04-SER-,"131,04",Central 
110670, ACO LAMINADO RED 3          1045 (KG),AL04,SER,,AL04-SER-,"178,83",Central 
647317," SERRA EM FITA P/ MAD. 0,8 X 1.1/4 (M)",AL01,SL1,CH,AL01-SL1-CH,100,Central 
134051, TUBO QDR. INOX AISI 304 30.00MM X 2.00MM (M),AL04,SER,,AL04-SER-,"38,9",Central 
222192, AMORTECEDOR 140KG BAG MPG7 P/ PRODUTO MCF SS RS M23 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,10,Central 
120900," CHAPA FF #20   (0,91)     1010 (KG)",AL04,CHA,,AL04-CHA-,180,Central 
699999,,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,0,Central 
134183, TUBO     4      DIN 2440 (KG),AL04,SER,,AL04-SER-,"122,64",Central 
134133, TUBO MECANICO  32 X  16  ST,AL04,SER,,AL04-SER-,"100,94",Central 
215315, BOMBA KING C8E 5 OCV TRIFASICA (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
200412, DISCO TECNIL 150 X 30MM P/ MÁQ. DE COLHEITA (Un),AL01,EST,PJ03,AL01-EST-PJ03,47,Central 
501172, CARRO OBR,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,3,Central 
134077, TUBO     2           DIN 2440 (KG),AL04,SER,,AL04-SER-,133,Central 
134855, TUBO     1           DIN 2440 (KG),AL04,SER,,AL04-SER-,"102,52",Central 
801081, NITROGENIO GAS CIL K 10M³ (M3),AL10,GASES,,AL10-GASES-,40,Central 
218200, CAMARA AR 900X20 (20Z500,AL01,AM,AM04,AL01-AM-AM04,8,Central 
600417, JG CHAVE COMBINADA 6 A 22MM C/ 11 PÇS (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,3,Central 
134053, TUBO   3.1/2       DIN 2448/58 (KG),AL04,SER,,AL04-SER-,106,Central 
112850, AÇO RED INOX  304  DE  3/8 (KG),AL04,SER,,AL04-SER-,"30,5",Central 
134887, TUBO RET  150 X 80 X 5MM (KG),AL04,SER,,AL04-SER-,"154,77",Central 
649032, INS 16 ERM AG 60 VP 15 MIT (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,10,Central 
259363, PARAF SEX INOX  3/8 X 1.1/4 UNC (Un),AL01,EST,C02,AL01-EST-C02,877,Central 
112860, AÇO RED INOX  304 DE  1/2 (KG),AL04,SER,,AL04-SER-,24,Central 
200184, FITA ISOLANTE SCOTH,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,99,Central 
504781, KIT DE REPARO VALV DISPENSA MINI T,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
134021," TUBO QDR 50,00 X 2,00 (KG)",AL04,SER,,AL04-SER-,"22,3",Central 
200468, Chave tripolar 16A (PEQUENA) MCF 16 (Un),AL01,EST,CH,AL01-EST-CH,5,Central 
641905," BROCA CONICA 18,0mm DIN 345 (Un)",AL01,GAV,G01,AL01-GAV-G01,2,Central 
534011, SENSOR INDUTIVO LM18,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,3,Central 
504897, ESPIGAO MACHO P/MANGUEIRA 1/4 X 5/16 000.LUB,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,30,Central 
525363, MOLA A GAS 1150N P/ PROTEÇÃO DE SERRA CÓD. 010.4069 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
350107, ARAME MIG P/ SOLDA INOX ,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,15,Central 
222116, BARRA ROSC FERRO GALV. 3/4 X 1MT (Un),AL01,AM,AM05,AL01-AM-AM05,22,Central 
599519, ELETRODO DE IGNIÇÃO DUPLO VG1,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
134078, TUBO DIN 2440 2 GALV. (KG),AL04,SER,,AL04-SER-,"68,4",Central 
501167, MANGUEIRA P/ LAVADORA DE ALTA PRESSÃO HD 10/18 MAXI (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
501951, MANGUEIRA TRANC HIDRO,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,100,Central 
200510, CHAPA ACRILICO 6 X 1000 X 2000 (KG),AL01,EST,CH,AL01-EST-CH,"14,28",Central 
